2026-03-16 14:19:18,853 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8547784958:AAEJPryv_lKK3W9wvL4gfPjFAbkEmB3Bewc/getUpdates "HTTP/1.1 200 OK"
2026-03-16 14:19:19,768 | apscheduler.executors.default | INFO | Running job "check_and_send_signals (trigger: interval[0:00:45], next run at: 2026-03-16 11:20:04 UTC)" (scheduled at 2026-03-16 11:19:19.752652+00:00)
2026-03-16 14:19:19,768 | __main__ | INFO | Signal check skipped - waiting for active trade to finish
2026-03-16 14:19:19,768 | apscheduler.executors.default | INFO | Job "check_and_send_signals (trigger: interval[0:00:45], next run at: 2026-03-16 11:20:04 UTC)" executed successfully
2026-03-16 14:19:29,065 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8547784958:AAEJPryv_lKK3W9wvL4gfPjFAbkEmB3Bewc/getUpdates "HTTP/1.1 200 OK"
2026-03-16 14:19:39,344 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8547784958:AAEJPryv_lKK3W9wvL4gfPjFAbkEmB3Bewc/getUpdates "HTTP/1.1 200 OK"
2026-03-16 14:19:39,758 | apscheduler.executors.default | INFO | Running job "check_and_send_results (trigger: interval[0:00:30], next run at: 2026-03-16 11:20:09 UTC)" (scheduled at 2026-03-16 11:19:39.755577+00:00)
2026-03-16 14:19:39,760 | apscheduler.executors.default | INFO | Job "check_and_send_results (trigger: interval[0:00:30], next run at: 2026-03-16 11:20:09 UTC)" executed successfully
2026-03-16 14:19:49,581 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8547784958:AAEJPryv_lKK3W9wvL4gfPjFAbkEmB3Bewc/getUpdates "HTTP/1.1 200 OK"
2026-03-16 14:19:57,829 | apscheduler.scheduler | INFO | Removed job 1dd8f531f0e741c98559b9d183291109
2026-03-16 14:19:57,830 | apscheduler.executors.default | INFO | Running job "entry_AUDUSD_11:19 (trigger: date[2026-03-16 11:19:57 UTC], next run at: 2026-03-16 11:19:57 UTC)" (scheduled at 2026-03-16 11:19:57.813919+00:00)
2026-03-16 14:19:58,448 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8547784958:AAEJPryv_lKK3W9wvL4gfPjFAbkEmB3Bewc/sendMessage "HTTP/1.1 200 OK"
2026-03-16 14:19:58,449 | apscheduler.executors.default | INFO | Job "entry_AUDUSD_11:19 (trigger: date[2026-03-16 11:19:57 UTC], next run at: 2026-03-16 11:19:57 UTC)" executed successfully
2026-03-16 14:19:59,811 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8547784958:AAEJPryv_lKK3W9wvL4gfPjFAbkEmB3Bewc/getUpdates "HTTP/1.1 200 OK"
2026-03-16 14:20:04,760 | apscheduler.executors.default | INFO | Running job "check_and_send_signals (trigger: interval[0:00:45], next run at: 2026-03-16 11:20:49 UTC)" (scheduled at 2026-03-16 11:20:04.752652+00:00)
2026-03-16 14:20:04,761 | __main__ | INFO | Signal check skipped - waiting for active trade to finish
2026-03-16 14:20:04,761 | apscheduler.executors.default | INFO | Job "check_and_send_signals (trigger: interval[0:00:45], next run at: 2026-03-16 11:20:49 UTC)" executed successfully
2026-03-16 14:20:09,759 | apscheduler.executors.default | INFO | Running job "check_and_send_results (trigger: interval[0:00:30], next run at: 2026-03-16 11:20:39 UTC)" (scheduled at 2026-03-16 11:20:09.755577+00:00)
2026-03-16 14:20:09,761 | apscheduler.executors.default | INFO | Job "check_and_send_results (trigger: interval[0:00:30], next run at: 2026-03-16 11:20:39 UTC)" executed successfully
2026-03-16 14:20:10,062 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8547784958:AAEJPryv_lKK3W9wvL4gfPjFAbkEmB3Bewc/getUpdates "HTTP/1.1 200 OK"
2026-03-16 14:20:20,301 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8547784958:AAEJPryv_lKK3W9wvL4gfPjFAbkEmB3Bewc/getUpdates "HTTP/1.1 200 OK"
2026-03-16 14:20:30,539 | httpx | INFO | HTTP Request: POST https://api.telegram.org/bot8547784958:AAEJPryv_lKK3W9wvL4gfPjFAbkEmB3Bewc/getUpdates "HTTP/1.1 200 OK"
2026-03-16 14:20:39,763 | apscheduler.executors.default | INFO | Running job "check_and_send_results (trigger: interval[0:00:30], next run at: 2026-03-16 11:21:09 UTC)" (scheduled at 2026-03-16 11:20:39.755577+00:00)
2026-03-16 14:20:39,764 | apscheduler.executors.default | INFO | Job "check_and_send_results (trigger: interval[0:00:30], next run at: 2026-03-16 11:21:09 UTC)" executed successfully
